rank,category,racename,race_id,rider_name,rider_id,points,jpp,date
4,1.WT2,Flèche Wallonne,41181,WOODS Michael,20257,0.0,0,2023-04-19
5,1.WT2,Flèche Wallonne,41181,CICCONE Giulio,21812,0.0,0,2023-04-19
6,1.WT2,Flèche Wallonne,41181,LAFAY Victor,26197,0.0,0,2023-04-19
7,1.WT2,Flèche Wallonne,41181,BENOOT Tiesj,21244,0.0,0,2023-04-19
8,1.WT2,Flèche Wallonne,41181,VAN GILS Maxim,28521,0.0,0,2023-04-19
9,1.WT2,Flèche Wallonne,41181,BARDET Romain,13566,0.0,0,2023-04-19
10,1.WT2,Flèche Wallonne,41181,BARGUIL Warren,17627,0.0,0,2023-04-19
1,2.PSs,"Tour of the Alps, Stage 3 : Ritten - Brentonico San Valentino",41236,KÄMNA Lennard,23427,0.0,0,2023-04-19
1,CCT2,Pan-American Championships (Panama) I.T.T.,41302,VARGAS ALZATE Walter Alejandro,23536,0.0,0,2023-04-19
1,2.PSs,"Tour of the Alps, Stage 2 : Reith im Alpbachtal - Ritten",41235,GEOGHEGAN HART Tao,22018,0.0,0,2023-04-18
1,2.PSs,"Tour of the Alps, Stage 1 : Rattenberg - Alpbach",41234,GEOGHEGAN HART Tao,22018,0.0,0,2023-04-17
1,NCT5,National Championships Zimbabwe (Bulawayo) I.T.T. (prov.),41454,SIBANDA Mthokozisi,23094,0.0,0,2023-04-17
1,1.WT1,Amstel Gold Race,41179,POGACAR Tadej,26526,0.0,0,2023-04-16
2,1.WT1,Amstel Gold Race,41179,HEALY Ben,28846,0.0,0,2023-04-16
3,1.WT1,Amstel Gold Race,41179,PIDCOCK Thomas,27708,0.0,0,2023-04-16
4,1.WT1,Amstel Gold Race,41179,KRON Andreas Lorentz,26420,0.0,0,2023-04-16
5,1.WT1,Amstel Gold Race,41179,LUTSENKO Alexey,18455,0.0,0,2023-04-16
6,1.WT1,Amstel Gold Race,41179,BAGIOLI Andrea,28452,0.0,0,2023-04-16
7,1.WT1,Amstel Gold Race,41179,VAN GILS Maxim,28521,0.0,0,2023-04-16
8,1.WT1,Amstel Gold Race,41179,SKJELMOSE JENSEN Mattias,30166,0.0,0,2023-04-16
9,1.WT1,Amstel Gold Race,41179,KAMP Alexander,19391,0.0,0,2023-04-16
10,1.WT1,Amstel Gold Race,41179,ZINGLE Axel,31263,0.0,0,2023-04-16
1,1.1,Giro di Reggio Calabria,41448,RESTREPO VALENCIA Jhonatan,24720,0.0,0,2023-04-16
2,1.1,Giro di Reggio Calabria,41448,TIVANI PEREZ German Nicolas,22472,0.0,0,2023-04-16
3,1.1,Giro di Reggio Calabria,41448,MAESTRI Mirco,20073,0.0,0,2023-04-16
1,1.1,Tour du Doubs,41180,HERRADA LOPEZ Jesus,17534,0.0,0,2023-04-16
2,1.1,Tour du Doubs,41180,PINOT Thibaut,13080,0.0,0,2023-04-16
3,1.1,Tour du Doubs,41180,PETERS Nans,22703,0.0,0,2023-04-16
1,1.1,Tour du Jura,41177,VAUQUELIN Kévin,31264,0.0,0,2023-04-15
2,1.1,Tour du Jura,41177,PINOT Thibaut,13080,0.0,0,2023-04-15
3,1.1,Tour du Jura,41177,MARTIN Guillaume,19994,0.0,0,2023-04-15
1,2.1,"Giro di Sicilia , General classification",41227,LUTSENKO Alexey,18455,0.0,0,2023-04-14
2,2.1,"Giro di Sicilia , General classification",41227,MEINTJES Louis,18413,0.0,0,2023-04-14
3,2.1,"Giro di Sicilia , General classification",41227,ALBANESE Vincenzo,24139,0.0,0,2023-04-14
1,1.1,Classic Grand Besançon Doubs,41176,LAFAY Victor,26197,0.0,0,2023-04-14
2,1.1,Classic Grand Besançon Doubs,41176,MARTINEZ Lenny,32721,0.0,0,2023-04-14
3,1.1,Classic Grand Besançon Doubs,41176,ADRIA OLIVERAS Roger,27469,0.0,0,2023-04-14
1,2.1s,"Giro di Sicilia , Stage 4 : Barcellona Pozzo di Gotto - Giarre",41226,LUTSENKO Alexey,18455,0.0,0,2023-04-14
1,2.1s,"Giro di Sicilia , Stage 3 : Enna - Termini Imerse",41225,SUTER Joël,27256,0.0,0,2023-04-13
1,1.PS,Brabantse Pijl,41175,GODON Dorian,25704,0.0,0,2023-04-12
2,1.PS,Brabantse Pijl,41175,HEALY Ben,28846,0.0,0,2023-04-12
3,1.PS,Brabantse Pijl,41175,COSNEFROY Benoît,24189,0.0,0,2023-04-12
4,1.PS,Brabantse Pijl,41175,CAVAGNA Rémi,22910,0.0,0,2023-04-12
5,1.PS,Brabantse Pijl,41175,ZINGLE Axel,31263,0.0,0,2023-04-12
6,1.PS,Brabantse Pijl,41175,KAMP Alexander,19391,0.0,0,2023-04-12
7,1.PS,Brabantse Pijl,41175,DE LIE Arnaud,32221,0.0,0,2023-04-12
8,1.PS,Brabantse Pijl,41175,BAGIOLI Andrea,28452,0.0,0,2023-04-12
9,1.PS,Brabantse Pijl,41175,SKUJINS Toms,16739,0.0,0,2023-04-12
10,1.PS,Brabantse Pijl,41175,HEIDUK Kim,29436,0.0,0,2023-04-12
1,2.1s,"Giro di Sicilia , Stage 2 : Canicatti - Vittoria",41224,BONIFAZIO Niccolo,20102,0.0,0,2023-04-12
1,1.1,Paris - Camembert,41174,FERRON Valentin,28375,0.0,0,2023-04-11
2,1.1,Paris - Camembert,41174,COSTIOU Ewen,32834,0.0,0,2023-04-11
3,1.1,Paris - Camembert,41174,DVERSNES Fredrik,28553,0.0,0,2023-04-11
1,2.1s,"Giro di Sicilia , Stage 1 : Marsala - Agrigento",41223,FISHER-BLACK Finn,30562,0.0,0,2023-04-11
1,1.WT1,Paris - Roubaix,41173,VAN DER POEL Mathieu,21971,0.0,0,2023-04-09
2,1.WT1,Paris - Roubaix,41173,PHILIPSEN Jasper,26392,0.0,0,2023-04-09
3,1.WT1,Paris - Roubaix,41173,VAN AERT Wout,20730,0.0,0,2023-04-09
4,1.WT1,Paris - Roubaix,41173,PEDERSEN Mads,21992,0.0,0,2023-04-09
5,1.WT1,Paris - Roubaix,41173,KÜNG Stefan,20960,0.0,0,2023-04-09
6,1.WT1,Paris - Roubaix,41173,GANNA Filippo,24057,0.0,0,2023-04-09
7,1.WT1,Paris - Roubaix,41173,DEGENKOLB John,9851,0.0,0,2023-04-09
8,1.WT1,Paris - Roubaix,41173,WALSCHEID Maximilian,19646,0.0,0,2023-04-09
9,1.WT1,Paris - Roubaix,41173,REX Laurenz,28442,0.0,0,2023-04-09
10,1.WT1,Paris - Roubaix,41173,LAPORTE Christophe,19953,0.0,0,2023-04-09
1,2.WT1,"Itzulia Basque Country, General classification",41210,VINGEGAARD RASMUSSEN Jonas,25740,0.0,0,2023-04-08
2,2.WT1,"Itzulia Basque Country, General classification",41210,LANDA MEANA Mikel,14319,0.0,0,2023-04-08
3,2.WT1,"Itzulia Basque Country, General classification",41210,IZAGIRRE INSAUSTI Ion,14321,0.0,0,2023-04-08
4,2.WT1,"Itzulia Basque Country, General classification",41210,GAUDU David,24255,0.0,0,2023-04-08
5,2.WT1,"Itzulia Basque Country, General classification",41210,MAS NICOLAU Enric,22794,0.0,0,2023-04-08
6,2.WT1,"Itzulia Basque Country, General classification",41210,HIGUITA GARCIA Sergio Andres,25026,0.0,0,2023-04-08
7,2.WT1,"Itzulia Basque Country, General classification",41210,MCNULTY Brandon,26508,0.0,0,2023-04-08
8,2.WT1,"Itzulia Basque Country, General classification",41210,KNOX James,23403,0.0,0,2023-04-08
9,2.WT1,"Itzulia Basque Country, General classification",41210,YATES Simon,17893,0.0,0,2023-04-08
10,2.WT1,"Itzulia Basque Country, General classification",41210,GALL Felix,26383,0.0,0,2023-04-08
1,2.WT1s,"Itzulia Basque Country, Stage 6 : Eibar - Eibar",41209,VINGEGAARD RASMUSSEN Jonas,25740,0.0,0,2023-04-08
1,2.WT2r,"Itzulia Basque Country, Mountains classification",41212,BARRENETXEA GOLZARRI Jon,31685,0.0,0,2023-04-08
1,2.WT2r,"Itzulia Basque Country, Points classification",41211,VINGEGAARD RASMUSSEN Jonas,25740,0.0,0,2023-04-08
1,2.WT1s,"Itzulia Basque Country, Stage 5 : Amorebieta - Amorebieta",41208,HIGUITA GARCIA Sergio Andres,25026,0.0,0,2023-04-07
1,2.1,"Région Pays de la Loire Tour, General classification",41217,KAMP Alexander,19391,0.0,0,2023-04-07
2,2.1,"Région Pays de la Loire Tour, General classification",41217,DVERSNES Fredrik,28553,0.0,0,2023-04-07
3,2.1,"Région Pays de la Loire Tour, General classification",41217,FERRON Valentin,28375,0.0,0,2023-04-07
1,2.1s,"Région Pays de la Loire Tour, Stage 4 : Sablé-sur-Sarthe - Le Mans",41216,DVERSNES Fredrik,28553,0.0,0,2023-04-07
1,2.WT1s,"Itzulia Basque Country, Stage 4 : Santurizi - Santurizi",41207,VINGEGAARD RASMUSSEN Jonas,25740,0.0,0,2023-04-06
1,2.1,"Tour of Thailand, General classification",41203,BATSAIKHAN Tegshbayar,27699,0.0,0,2023-04-06
2,2.1,"Tour of Thailand, General classification",41203,SAINBAYAR Jambaljamts,24289,0.0,0,2023-04-06
3,2.1,"Tour of Thailand, General classification",41203,KOISHI Yuma,21852,0.0,0,2023-04-06
1,2.1s,"Région Pays de la Loire Tour, Stage 3 : Baugé-en-Anjou - Mayenne",41215,COQUARD Bryan,18714,0.0,0,2023-04-06
1,2.1s,"Tour of Thailand, Stage 6 : Chanthaburi - Rayong",41202,SIRIRONNACHAI Sarawut,18945,0.0,0,2023-04-06
1,2.WT1s,"Itzulia Basque Country, Stage 3 : Errenteria - Villabona",41206,VINGEGAARD RASMUSSEN Jonas,25740,0.0,0,2023-04-05
1,1.PS,Scheldeprijs,41172,PHILIPSEN Jasper,26392,0.0,0,2023-04-05
2,1.PS,Scheldeprijs,41172,WELSFORD Samuel,23517,0.0,0,2023-04-05
3,1.PS,Scheldeprijs,41172,CAVENDISH Mark,3448,0.0,0,2023-04-05
